nombre,tags,paso_a_paso
Bahama Mama,"citrico, clasico","1) Agregar Ron, Ron oscuro, Licor de banana, Granadina, Jugo de piña, Jugo de naranja y Mezcla agridulce a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Balmoral,"amargo, clasico, vino","1) Agregar Whisky escoces, Vermut dulce, Vermut seco y Amargo de angostura a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Barracuda,"citrico, clasico, espumante","1) Agregar Ron, Galliano, Jugo de piña y Jugo de lima a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar en copa margarita y completar con Prosecco."
Batanga,"citrico, clasico, mexicano, rapido, tequila","1) Llenar vaso highball con hielo.
2) Agregar Tequila y Jugo de lima.
3) Completar con Coca-Cola y mezclar suavemente.
4) Decorar con Sal."
Batida,"brasileno, citrico, clasico, cremoso, frutal","1) Agregar Cachaca, Leche de coco, Jugo de maracuya y Azucar a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso bajo."
Bellini,"clasico, espumante","1) Agregar Champagne y Schnapps de durazno a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa flauta."
Between the Sheets,"citrico, clasico, frances","1) Agregar Cognac, Ron blanco, Triple sec y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa coupe."
Bible Belt,"citrico, clasico","1) Agregar Southern Comfort, Triple sec, Lima y Mezcla sour a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso highball bien frio."
Big Red,clasico,"1) Agregar Baileys crema irlandesa y Goldschlager a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio."
Bijou,"clasico, gin, vino","1) Agregar Amargo de naranja, Green Chartreuse, Gin y Vermut dulce a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Blackthorn,"clasico, gin, vino","1) Agregar Vermut dulce y Sloe gin a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Cascara de limon."
Bluebird,"amargo, clasico, gin","1) Agregar Gin, Triple sec, Curacao azul y Amargo de angostura a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Cereza marrasquino y Cascara de limon."
Bob Marley,clasico,"1) Agregar Licor de melon, Jägermeister y Goldschlager a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio."
Boomerang,"amargo, clasico, gin","1) Agregar Gin, Vermut seco, Amargo de angostura y Licor de maraschino a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Cereza marrasquino."
Bora Bora,"citrico, clasico, frutal, refrescante","1) Agregar Jugo de piña, Jugo de maracuya, Jugo de limon y Granadina a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Borgoña,"chileno, clasico, frutal, verano, vino","1) Agregar Vino tinto, Frutillas, Azucar y Cointreau a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso corto.
4) Decorar con Durazno."
Boston Sour,"citrico, clasico, cremoso, sour","1) Agregar Whisky mezclado, Limon, Azucar flor y Clara de huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa sour.
4) Decorar con Limon y Cereza marrasquino."
Boulevardier,"amargo, campari, clasico, estadounidense, gin, rapido, vino","1) Agregar Whiskey Bourbon, Campari y Vermut rojo a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso bajo bien frio.
4) Decorar con Naranja."
Boxcar,"citrico, clasico, cremoso, gin","1) Agregar Gin, Triple sec, Jugo de limon, Granadina y Clara de huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa sour."
Brain Fart,"citrico, clasico","1) Agregar Everclear, Vodka, Mountain Dew, Surge, Jugo de limon y Ron a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en ponchera."
Bramble,"citrico, clasico, gin","1) Agregar Gin, Jugo de limon, Jarabe simple y Crema de mora a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso old fashioned."
Brigadier,clasico,"1) Agregar Hot Chocolate, Green Chartreuse y Cherry Heering a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en taza bien frio."
Broadside,"amargo, clasico","1) Agregar Ron 151 grados, Whisky escoces, Amargo de angostura y Ajenjo a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso highball bien frio."
Brooklyn,"amargo, clasico","1) Agregar Whisky de centeno, Vermut seco, Licor de maraschino y Amargo de angostura a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Cereza marrasquino."
Bubble Gum,"citrico, clasico","1) Agregar Vodka, Licor de banana, Jugo de naranja y Schnapps de durazno a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso de shot."
Buccaneer,clasico,"1) Agregar Corona y Bacardi Limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso pilsner."
Bumble Bee,clasico,"1) Agregar Baileys crema irlandesa, Kahlua y Sambuca a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio."
Cafe Savoy,"cafe, clasico, cremoso, ingles","1) Agregar Cafe, Leche, Triple sec y Brandy a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en taza bien frio."
Caipirinha,"citrico, clasico","1) Agregar Azucar y Cachaca a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso old fashioned.
4) Decorar con Lima."
Caipirissima,"citrico, clasico","1) Agregar Lima, Azucar y Ron blanco a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins."
Caipiroska,"brasileno, citrico, clasico, rapido, refrescante","1) Agregar Vodka, Lima y Azucar a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso bajo."
Campari Beer,"amargo, campari, clasico","1) Agregar Cerveza lager y Campari a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en jarro cervecero."
Cantarito,"citrico, clasico, mexicano, tequila","1) Llenar tarro de barro con hielo.
2) Agregar Tequila, Jugo de pomelo, Jugo de naranja y Jugo de lima.
3) Completar con Agua con gas y mezclar suavemente.
4) Decorar con Sal."
Carajillo,"cafe, clasico, espanol, rapido, sobremesa","1) Agregar Licor 43 y Cafe a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso bajo."
Casa Blanca,"citrico, clasico","1) Agregar Ron claro, Triple sec, Jugo de lima y Licor de maraschino a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Casino,"citrico, clasico, gin","1) Agregar Gin, Licor de maraschino, Jugo de limon y Amargo de naranja a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.
4) Decorar con Cereza marrasquino."
Casino Royale,"citrico, clasico, gin","1) Agregar Gin, Jugo de limon, Licor de maraschino, Amargo de naranja y Yema de huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa sour."
Cherry Rum,clasico,"1) Agregar Ron claro, Brandy de cereza y Crema ligera a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Chicago Fizz,"citrico, clasico, cremoso","1) Agregar Ron claro, Oporto, Limon, Azucar flor y Clara de huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar en vaso highball y completar con Agua con gas."
Chilcano,"amargo, citrico, clasico, gin, peruano, pisco, rapido, refrescante","1) Llenar vaso highball con hielo.
2) Agregar Pisco, Jugo de lima y Amargo de angostura.
3) Completar con Ginger ale y mezclar suavemente."
Chocolate Drink,"clasico, cremoso, refrescante","1) Agregar Leche y Agua a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en taza.
4) Decorar con Chocolate."
Chocolate Milk,"clasico, cremoso","1) Agregar Licor de chocolate, Leche y Amaretto al vaso o al recipiente de mezcla.
2) Enfriar si corresponde.
3) Servir en shot glass."
Citrus Coke,clasico,"1) Llenar vaso highball con hielo.
2) Agregar Bacardi Limon.
3) Completar con Coca-Cola y mezclar suavemente."
City Slicker,"citrico, clasico","1) Agregar Brandy, Triple sec y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Clery,"chileno, clasico, frutal, verano, vino","1) Agregar Vino blanco, Frutillas y Cointreau a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso corto.
4) Decorar con Durazno."
Clove Cocktail,"clasico, gin, vino","1) Agregar Vermut dulce, Sloe gin y Vino a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Clover Club,"citrico, clasico, cremoso, gin","1) Agregar Gin, Granadina, Limon y Clara de huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Coffee Liqueur,"cafe, clasico","1) Agregar Cafe, Azucar, Vodka y Agua a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins.
4) Decorar con Extracto de vainilla."
Coffee-Vodka,"cafe, clasico","1) Agregar Agua, Azucar, Cafe y Vodka a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins.
4) Decorar con Vainilla y Caramel coloring."
Coke and Drops,"citrico, clasico, refrescante","1) Llenar copa de coctel con hielo.
2) Agregar Jugo de limon.
3) Completar con Coca-Cola y mezclar suavemente."
Cola de mono,"cafe, chileno, clasico, cremoso, navidad, pisco","1) Agregar Leche, Pisco, Azucar y Cafe a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso bajo.
4) Decorar con Clavos de olor, Canela, Pimienta de Jamaica, Cardamomo, Anis estrellado y Nuez moscada."
Corn n Oil,"amargo, citrico, clasico","1) Agregar Lima, Falernum, Amargo de angostura, Ron añejo y Ron blackstrap a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso old fashioned bien frio."
Corpse Reviver,"citrico, clasico, gin","1) Agregar Gin, Triple sec, Lillet Blanc, Jugo de limon y Absenta a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Corpse Reviver #2,"citrico, clasico, gin, ingles","1) Agregar Gin, Lillet Blanc, Cointreau, Jugo de limon y Absenta a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa coupe."
Cosmopolitan,"citrico, clasico","1) Agregar Vodka, Jugo de lima, Cointreau y Jugo de arandano a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Cranberry Punch,"citrico, clasico, gin, refrescante","1) Llenar punch bowl con hielo.
2) Agregar Jugo de arandano, Azucar y Jugo de piña.
3) Completar con Ginger ale y mezclar suavemente.
4) Decorar con Almond flavoring."
Cream Soda,"clasico, gin","1) Llenar vaso highball con hielo.
2) Agregar Ron especiado.
3) Completar con Ginger ale y mezclar suavemente."
Cuba Libra,"citrico, clasico","1) Llenar vaso highball con hielo.
2) Agregar Ron oscuro y Lima.
3) Completar con Coca-Cola y mezclar suavemente."
Cuba Libre,"citrico, clasico","1) Llenar vaso collins con hielo.
2) Agregar Ron claro y Lima.
3) Completar con Coca-Cola y mezclar suavemente."
Daiquiri,"citrico, clasico","1) Agregar Ron claro, Lima y Azucar flor a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Damned if you do,clasico,"1) Agregar Whisky y Fireball a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio."
Danbooka,"cafe, clasico","1) Agregar Cafe y Everclear a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en taza."
Dark and Stormy,clasico,"1) Llenar vaso highball con hielo.
2) Agregar Ron oscuro.
3) Completar con Cerveza de jengibre y mezclar suavemente."
Dark Caipirinha,"citrico, clasico","1) Agregar Azucar rubia y Cachaca a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso old fashioned.
4) Decorar con Lima."
Darkwood Sling,"citrico, clasico","1) Llenar copa de coctel con hielo.
2) Agregar Cherry Heering y Jugo de naranja.
3) Completar con Agua con gas y mezclar suavemente."
Death in the Afternoon,"clasico, espumante","1) Agregar Absenta y Champagne a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa margarita."
Derby,"clasico, gin","1) Agregar Gin, Amargo de durazno y Menta a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Diamante,"bar-top-chile, chileno-autor, clasico, gin, jerez, siam-thai, top-bars, vino","1) Agregar Gin, Fino, Soju de ciruela, Yuzu y Vermut a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa coupe bien frio."
Diesel,clasico,"1) Agregar Cerveza lager, Sidra y Cordial de grosella negra a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso pinta."
Dirty Martini,"citrico, clasico, martini","1) Agregar Vodka y Vermut seco a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Salmuera de aceituna, Limon y Aceituna."
Dirty Nipple,clasico,"1) Agregar Kahlua, Sambuca y Baileys crema irlandesa a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio."
Division Bell,"citrico, last-word-family, mezcal, moderno, top-bars","1) Agregar Mezcal, Aperol, Licor de maraschino y Jugo de lima a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa coupe."
Downshift,"clasico, tequila","1) Agregar Ponche de frutas, Sprite, Tequila y Ron 151 grados a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa hurricane bien frio."
Dragonfly,"citrico, clasico, gin","1) Llenar vaso highball con hielo.
2) Agregar Gin.
3) Completar con Ginger ale y mezclar suavemente.
4) Decorar con Lima."
Drinking Chocolate,"clasico, cremoso, refrescante","1) Agregar Crema espesa, Leche y Crema batida a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en taza.
4) Decorar con Canela, Vainilla y Chocolate."
Dry Martini,"clasico, gin, martini","1) Agregar Gin y Vermut seco a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Aceituna."
Dry Rob Roy,clasico,"1) Agregar Whisky escoces y Vermut seco a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Cascara de limon."
Dubonnet Cocktail,"amargo, clasico, gin","1) Agregar Dubonnet Rouge, Gin y Amargo de angostura a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Cascara de limon."
Duchamp's Punch,"amargo, citrico, clasico, pisco","1) Agregar Pisco, Jugo de lima, Jarabe de pina, St. Germain, Amargo de angostura y Lavanda a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso old fashioned.
4) Decorar con Pimienta."
Eastside,"citrico, estadounidense, gin, moderno, top-bars","1) Agregar Gin, Jugo de lima, Jarabe simple y Pepino a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa coupe.
4) Decorar con Menta."
