nombre,tags,paso_a_paso
Foxy Lady,clasico,"1) Agregar Amaretto, Crema de cacao y Crema ligera a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Frappé,"cafe, clasico, cremoso, refrescante","1) Agregar Cafe, Leche y Azucar a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Freddy Kruger,clasico,"1) Agregar Jägermeister, Sambuca y Vodka a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio."
French 75,"citrico, clasico, espumante, gin","1) Agregar Gin, Azucar y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar en vaso collins y completar con Champagne.
4) Decorar con Naranja y Cereza marrasquino."
French Connection,clasico,"1) Agregar Cognac y Amaretto a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso old fashioned bien frio."
French Martini,"citrico, clasico, martini","1) Agregar Vodka, Licor de frambuesa y Jugo de piña a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
French Negroni,"clasico, gin, negroni, vino","1) Agregar Gin, Lillet y Vermut dulce a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa martini bien frio.
4) Decorar con Cascara de naranja."
Frisco Sour,"citrico, clasico, sour","1) Agregar Whisky mezclado, Benedictine, Limon y Lima a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa sour.
4) Decorar con Limon y Lima."
Frosé,"citrico, clasico, frutal","1) Agregar Azucar, Frutillas y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.
4) Decorar con Rosa."
Frozen Daiquiri,"citrico, clasico, tiki","1) Agregar Ron claro, Triple sec, Jugo de lima y Azucar a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa flauta.
4) Decorar con Cereza marrasquino."
Frozen Mint Daiquiri,"citrico, clasico, tiki","1) Agregar Ron claro, Jugo de lima, Menta y Azucar a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso old fashioned."
Frozen Pineapple Daiquiri,"citrico, clasico, tiki","1) Agregar Ron claro, Pina, Jugo de lima y Azucar a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Fruit Cooler,"citrico, clasico, frutal, refrescante","1) Llenar vaso highball con hielo.
2) Agregar Jugo de manzana, Frutillas, Azucar y Manzana.
3) Completar con Agua con gas y mezclar suavemente.
4) Decorar con Limon."
Fruit Flip-Flop,"citrico, clasico, refrescante","1) Agregar Yogur y Jugo de frutas a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Fruit Shake,"citrico, clasico, refrescante","1) Agregar Yogur, Platano, Jugo de naranja y Fruta a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Funk and Soul,"citrico, clasico","1) Llenar vaso collins con hielo.
2) Agregar Ron, Nectar de damasco, Jugo de granada y Limon.
3) Completar con Agua con gas y mezclar suavemente."
Fuzzy Asshole,"cafe, clasico","1) Agregar Cafe y Schnapps de durazno a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en taza."
Gagliardo,"citrico, clasico","1) Agregar Vodka de durazno, Jugo de limon, Galliano y Jarabe de rosas a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Gancia Batido,"aperitivo, argentino, citrico, clasico, rapido","1) Agregar Gancia, Jugo de limon y Azucar a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso bajo."
Garibaldi,"aperitivo, campari, citrico, italiano","1) Agregar Campari y Jugo de naranja a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
GG,"clasico, gin","1) Llenar vaso collins con hielo.
2) Agregar Galliano.
3) Completar con Ginger ale y mezclar suavemente."
Gimlet,"citrico, clasico, gin","1) Agregar Gin, Jugo de lima y Jarabe simple a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso old fashioned.
4) Decorar con Lima."
Gin and Soda,"citrico, clasico, gin","1) Llenar vaso highball con hielo.
2) Agregar Gin y Lima.
3) Completar con Agua con gas y mezclar suavemente."
Gin Basil Smash,"citrico, gin, moderno, top-bars","1) Agregar Gin, Jugo de limon y Jarabe simple a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso bajo.
4) Decorar con Albahaca."
Gin Cooler,"clasico, gin","1) Llenar vaso collins con hielo.
2) Agregar Gin y Azucar flor.
3) Completar con Agua con gas y mezclar suavemente.
4) Decorar con Espiral de naranja y Cascara de limon."
Gin Daisy,"citrico, clasico, gin","1) Agregar Gin, Jugo de limon, Azucar y Granadina a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso old fashioned.
4) Decorar con Cereza marrasquino y Naranja."
Gin Fizz,"citrico, clasico, gin","1) Agregar Gin, Limon y Azucar flor a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar en vaso highball y completar con Agua con gas."
Gin Lemon,"citrico, clasico, gin","1) Agregar Gin y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball.
4) Decorar con Cascara de limon."
Gin Rickey,"citrico, clasico, gin","1) Llenar vaso highball con hielo.
2) Agregar Gin, Granadina, Limon y Lima.
3) Completar con Agua con gas y mezclar suavemente."
Gin Sling,"citrico, clasico, gin","1) Agregar Gin, Limon, Azucar flor y Agua a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso old fashioned.
4) Decorar con Cascara de naranja."
Gin Smash,"citrico, clasico, gin","1) Llenar vaso old fashioned con hielo.
2) Agregar Gin, Azucar y Menta.
3) Completar con Agua con gas y mezclar suavemente.
4) Decorar con Naranja y Cereza marrasquino."
Gin Sour,"citrico, clasico, gin, sour","1) Agregar Gin, Jugo de limon y Azucar a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa sour.
4) Decorar con Naranja y Cereza marrasquino."
Gin Squirt,"clasico, frutal, gin","1) Llenar vaso highball con hielo.
2) Agregar Gin, Granadina, Azucar flor, Pina y Frutillas.
3) Completar con Agua con gas y mezclar suavemente."
Gin Swizzle,"amargo, citrico, clasico, gin","1) Llenar vaso highball con hielo.
2) Agregar Jugo de lima, Azucar, Gin y Amargo de angostura.
3) Completar con Agua tonica y mezclar suavemente."
Gin Toddy,"clasico, gin","1) Agregar Gin, Agua y Azucar flor a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso old fashioned.
4) Decorar con Cascara de limon."
Gin Tonic,"clasico, gin","1) Llenar vaso highball con hielo.
2) Agregar Gin.
3) Completar con Agua tonica y mezclar suavemente.
4) Decorar con Cascara de limon."
Gluehwein,"clasico, vino","1) Agregar Vino tinto, Agua y Azucar a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa irlandesa.
4) Decorar con Canela, Clavos de olor y Cascara de limon."
Godchild,"clasico, cremoso","1) Agregar Vodka, Amaretto y Crema espesa a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa flauta bien frio."
Godfather,clasico,"1) Agregar Whisky escoces y Amaretto a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso old fashioned bien frio."
Godmother,clasico,"1) Agregar Vodka y Amaretto a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso old fashioned bien frio."
Gold Rush,"citrico, estadounidense, moderno, sour, top-bars","1) Agregar Whiskey Bourbon, Jugo de limon y Jarabe de miel a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso bajo."
Grand Blue,clasico,"1) Agregar Ron Malibu, Schnapps de durazno, Curacao azul y Mezcla agridulce a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso old fashioned bien frio."
Grass Skirt,"citrico, clasico, gin","1) Agregar Gin, Triple sec, Jugo de piña, Granadina y Pina a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso old fashioned."
Grasshopper,clasico,"1) Agregar Crema de menta verde, Crema de cacao y Crema ligera a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Greyhound,"citrico, clasico","1) Agregar Vodka y Jugo de pomelo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins."
Grim Reaper,clasico,"1) Agregar Kahlua, Ron 151 grados y Granadina a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso old fashioned bien frio."
H.D.,"cafe, clasico","1) Agregar Whisky, Baileys crema irlandesa y Cafe a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en jarro cervecero bien frio."
Halloween Punch,"citrico, clasico","1) Agregar Jugo de cereza y Vodka a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en ponchera.
4) Decorar con Cascara de naranja, Aji, Clavos de olor y Ginger."
Happy Skipper,"citrico, clasico, gin","1) Llenar vaso highball con hielo.
2) Agregar Ron especiado y Lima.
3) Completar con Ginger ale y mezclar suavemente."
Harvey Wallbanger,"citrico, clasico","1) Agregar Vodka, Galliano y Jugo de naranja a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins."
Havana Cocktail,"citrico, clasico","1) Agregar Ron claro, Jugo de piña y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Hawaiian Cocktail,"citrico, clasico, gin","1) Agregar Gin, Triple sec y Jugo de piña a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Hemingway Special,"citrico, clasico","1) Agregar Ron, Jugo de pomelo, Licor de maraschino y Jugo de lima a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Herbal flame,clasico,"1) Agregar Fireball y Te a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en frasco mason."
Highland Fling Cocktail,"clasico, vino","1) Agregar Whisky escoces, Vermut dulce y Amargo de naranja a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Aceituna."
Holloween Punch,"citrico, clasico, refrescante","1) Llenar ponchera con hielo.
2) Agregar Jugo de uva, Helado y Helado.
3) Completar con Bebida y mezclar suavemente."
Homemade Kahlua,"cafe, clasico","1) Agregar Azucar, Corn syrup, Cafe, Agua y Vodka a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins.
4) Decorar con Extracto de vainilla."
Honey Bee,"citrico, clasico","1) Agregar Ron blanco, Miel y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa margarita."
Horse's Neck,"amargo, clasico, gin","1) Llenar vaso highball con hielo.
2) Agregar Brandy y Amargo de angostura.
3) Completar con Ginger ale y mezclar suavemente.
4) Decorar con Cascara de limon."
Hot Chocolate to Die for,"clasico, refrescante","1) Agregar Mantequilla, Mitad crema mitad leche y Marshmallows a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en taza.
4) Decorar con Chocolate y Extracto de vainilla."
Hot Creamy Bush,"cafe, clasico","1) Agregar Whisky irlandes, Baileys crema irlandesa y Cafe a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa irlandesa bien frio."
Hot Toddy,"citrico, clasico","1) Agregar Whisky y Miel a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa irlandesa.
4) Decorar con Canela, Limon y Clavos de olor."
Hugo Spritz,"aperitivo, clasico, espumante, italiano, rapido, refrescante","1) Llenar copa de vino con hielo.
2) Agregar St. Germain.
3) Completar con Prosecco y Agua con gas y mezclar suavemente.
4) Decorar con Menta y Lima."
Hunter's Moon,clasico,"1) Agregar Vermut, Jarabe simple, Limonada y Moras a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa balón.
4) Decorar con Cereza marrasquino."
Ice Pick,"citrico, clasico","1) Agregar Vodka, Te helado y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins."
Iced Coffee,"cafe, clasico, cremoso, refrescante","1) Agregar Cafe, Azucar, Agua y Leche a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en taza."
Iced Coffee Fillip,"cafe, clasico","1) Agregar Kahlua y Cafe a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en taza."
Imperial Cocktail,"citrico, clasico, gin","1) Agregar Jugo de lima, Gin y Aperol a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Imperial Fizz,"citrico, clasico","1) Agregar Ron claro, Whisky mezclado, Limon y Azucar flor a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar en vaso highball y completar con Agua con gas."
Ipamena,"citrico, clasico, frutal, gin, refrescante","1) Llenar copa de vino con hielo.
2) Agregar Lima, Azucar rubia y Jugo de maracuya.
3) Completar con Ginger ale y mezclar suavemente."
Irish Coffee,"cafe, clasico","1) Agregar Whisky irlandes, Cafe, Azucar y Crema batida a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa irlandesa."
Irish Cream,"clasico, cremoso","1) Agregar Whisky escoces, Mitad crema mitad leche, Leche condensada, Jarabe de coco y Jarabe de chocolate a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa irlandesa."
Irish Curdling Cow,"citrico, clasico","1) Agregar Baileys crema irlandesa, Whiskey Bourbon, Vodka y Jugo de naranja a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Irish Russian,clasico,"1) Llenar vaso highball con hielo.
2) Agregar Vodka, Kahlua y Guinness stout.
3) Completar con Coca-Cola y mezclar suavemente."
Irish Spring,"citrico, clasico","1) Agregar Whisky irlandes, Brandy de durazno, Jugo de naranja y Mezcla agridulce a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso collins.
4) Decorar con Naranja y Cereza marrasquino."
Jack Rose Cocktail,"citrico, clasico","1) Agregar Brandy de manzana, Granadina y Lima a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Jack's Vanilla Coke,clasico,"1) Llenar vaso old fashioned con hielo.
2) Agregar Whisky de Tennessee.
3) Completar con Coca-Cola y mezclar suavemente.
4) Decorar con Extracto de vainilla."
Jackhammer,clasico,"1) Agregar Jack Daniels y Amaretto a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso collins bien frio."
Jam Donut,clasico,"1) Agregar Baileys crema irlandesa, Chambord raspberry liqueur, Jarabe simple y Azucar a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio."
Jamaica Kiss,"clasico, cremoso","1) Agregar Licor de cafe, Ron claro y Leche a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa hurricane bien frio."
Jamaican Coffee,"cafe, clasico","1) Agregar Ron, Cafe, Agua y Crema batida a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa flauta."
Japanese Fizz,"citrico, clasico, cremoso","1) Agregar Whisky mezclado, Limon, Azucar flor, Oporto y Clara de huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar en vaso highball y completar con Agua con gas."
Jello shots,clasico,"1) Agregar Vodka, Gelatina y Agua a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso de shot."
Jelly Bean,clasico,"1) Agregar Brandy de mora y Anis a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en cordial glass bien frio."
Jewel Of The Nile,"clasico, gin","1) Agregar Gin, Green Chartreuse y Yellow Chartreuse a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Jitterbug,"citrico, clasico, gin","1) Llenar cocktail glass con hielo.
2) Agregar Gin, Vodka, Granadina, Jugo de lima, Azucar y Jarabe simple.
3) Completar con Agua con gas y mezclar suavemente."
John Collins,"citrico, clasico","1) Agregar Whiskey Bourbon, Jugo de limon y Azucar a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar en vaso highball y completar con Agua tonica.
4) Decorar con Cereza marrasquino y Naranja."
Jungle Bird,"amargo, campari, citrico, moderno, tiki, top-bars","1) Agregar Ron oscuro, Campari, Jugo de piña, Jugo de lima y Jarabe simple a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso bajo."
Just a Moonmint,"clasico, cremoso, refrescante","1) Agregar Leche, Jarabe de chocolate y Jarabe de menta a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Kalimotxo,"clasico, espanol, rapido, vino","1) Llenar vaso highball con hielo.
2) Agregar Vino tinto.
3) Completar con Coca-Cola y mezclar suavemente.
4) Decorar con Limon."
Kamikaze,"citrico, clasico","1) Agregar Vodka, Triple sec y Jugo de lima a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel."
Karsk,"cafe, clasico","1) Agregar Cafe y Alcohol de grano a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Kentucky B And B,clasico,"1) Agregar Whiskey Bourbon y Benedictine a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa balón bien frio."
Kentucky Colonel,clasico,"1) Agregar Whiskey Bourbon y Benedictine a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Cascara de limon."
Kill the cold Smoothie,"citrico, clasico, refrescante","1) Agregar Limon y Agua a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball.
4) Decorar con Ginger."
Kioki Coffee,"cafe, clasico","1) Agregar Kahlua, Brandy y Cafe a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en taza bien frio."
Kir,"clasico, espumante","1) Agregar Crema de cassis y Champagne a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de vino."
Kir Royale,"clasico, espumante","1) Agregar Crema de cassis y Champagne a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en champagne flute."
Kiss me Quick,"citrico, clasico","1) Agregar Vodka de arandano, Apfelkorn, Schweppes Russchian y Jugo de manzana a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Kiwi Lemon,clasico,"1) Llenar vaso highball con hielo.
2) Agregar Licor de kiwi.
3) Completar con Bebida de limon y mezclar suavemente."
Kiwi Martini,"clasico, martini","1) Agregar Kiwi, Jarabe simple, Vodka y Kiwi a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Kiwi Papaya Smoothie,"clasico, frutal, refrescante","1) Agregar Kiwi y Papaya a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Kool First Aid,clasico,"1) Agregar Ron 151 grados y Kool-Aid a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso de shot."
Kool-Aid Shot,"citrico, clasico, gin","1) Agregar Vodka, Amaretto, Sloe gin, Triple sec y Jugo de arandano a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso old fashioned."
Kool-Aid Slammer,clasico,"1) Agregar Kool-Aid y Vodka a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso de shot."
Kurant Tea,clasico,"1) Agregar Vodka Kurant, Te y Azucar a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa flauta."
Lady Love Fizz,"citrico, clasico, cremoso, gin","1) Agregar Gin, Crema ligera, Azucar flor, Limon y Clara de huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar en copa de coctel y completar con Agua con gas."
Lassi - A South Indian Drink,"clasico, refrescante","1) Agregar Yogur, Agua y Menta a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball.
4) Decorar con Semilla de comino y Sal."
Lassi - Mango,"clasico, refrescante","1) Agregar Mango, Yogur, Azucar y Agua a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball."
Lassi - Sweet,"citrico, clasico, refrescante","1) Agregar Yogur, Agua, Azucar y Jugo de limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball.
4) Decorar con Sal."
Lassi Khara,"clasico, refrescante","1) Agregar Yogur y Agua a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball.
4) Decorar con Sal y Asafoetida."
Lassi Raita,"citrico, clasico, refrescante","1) Agregar Yogur, Azucar y Lima a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball.
4) Decorar con Sal."
Lazy Coconut Paloma,"citrico, clasico","1) Llenar vaso highball con hielo.
2) Agregar Licor de coco y Jugo de pomelo.
3) Completar con Agua con gas y mezclar suavemente."
Lemon Drop,"citrico, clasico","1) Agregar Vodka, Cointreau y Limon a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Lemon Elderflower Spritzer,"aperitivo, citrico, clasico","1) Llenar vaso highball con hielo.
2) Agregar Cordial de flor de sauco, Vodka y Jugo de limon.
3) Completar con Agua con gas y mezclar suavemente."
Lemon Shot,"citrico, clasico","1) Agregar Galliano, Vodka Citron, Azucar y Ron 151 grados a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio.
4) Decorar con Limon."
Lemouroudji,"citrico, clasico, refrescante","1) Agregar Agua, Limon y Azucar a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball.
4) Decorar con Ginger y Pimienta cayena."
Limeade,"citrico, clasico, refrescante","1) Llenar vaso highball con hielo.
2) Agregar Lima y Azucar.
3) Completar con Agua con gas y mezclar suavemente.
4) Decorar con Cascara de lima."
Limona Corona,clasico,"1) Agregar Corona y Bacardi Limon a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en beer glass."
Loch Lomond,clasico,"1) Agregar Whisky escoces, Drambuie y Vermut seco a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Cascara de limon."
London Mule,"bar-top-chile, chileno-autor, citrico, clasico, gin, mule, rapido, siam-thai, top-bars","1) Llenar vaso alto con hielo.
2) Agregar Gin, Jugo de limon, Jengibre y Syrup especiado.
3) Completar con Cerveza de jengibre y mezclar suavemente."
London Town,"clasico, gin","1) Agregar Gin, Licor de maraschino y Amargo de naranja a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Lone Tree Cocktail,"clasico, gin, vino","1) Agregar Vermut dulce y Gin a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Lone Tree Cooler,"clasico, gin","1) Llenar vaso collins con hielo.
2) Agregar Gin, Vermut seco y Azucar flor.
3) Completar con Agua con gas y mezclar suavemente.
4) Decorar con Espiral de naranja y Cascara de limon."
Long Island Iced Tea,"clasico, gin, tequila","1) Llenar vaso highball con hielo.
2) Agregar Vodka, Tequila, Ron claro y Gin.
3) Completar con Coca-Cola y mezclar suavemente.
4) Decorar con Cascara de limon."
Long Island Tea,"citrico, clasico, gin, tequila","1) Llenar vaso highball con hielo.
2) Agregar Vodka, Ron claro, Gin, Tequila y Limon.
3) Completar con Coca-Cola y mezclar suavemente."
Long vodka,"amargo, citrico, clasico","1) Llenar vaso highball con hielo.
2) Agregar Vodka, Lima y Amargo de angostura.
3) Completar con Agua tonica y mezclar suavemente."
Lord And Lady,clasico,"1) Agregar Ron oscuro y Tia maria a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso old fashioned bien frio."
Lunch Box,"citrico, clasico","1) Agregar Cerveza, Amaretto y Jugo de naranja a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso pinta."
Mai Tai,clasico,"1) Agregar Ron claro, Jarabe de horchata, Triple sec y Mezcla agridulce a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso collins bien frio.
4) Decorar con Cereza marrasquino."
Mango Mojito,"citrico, clasico, mojito","1) Agregar Menta y Lima al vaso y macerar suavemente.
2) Incorporar Mango, Ron blanco y Mango y hielo a gusto.
3) Completar con Agua con gas, mezclar suavemente y servir en vaso highball."
Manhattan,"amargo, clasico, vino","1) Agregar Vermut dulce, Whiskey Bourbon y Amargo de angostura a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Cereza marrasquino y Cascara de naranja."
Margarita,"citrico, clasico, tequila","1) Agregar Tequila, Triple sec y Jugo de lima a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.
4) Decorar con Sal."
Martinez 2,"amargo, clasico, gin, vino","1) Agregar Gin, Vermut dulce, Licor de maraschino y Amargo de angostura a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio."
Martini,"clasico, gin, martini","1) Agregar Gin y Vermut seco a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa de coctel bien frio.
4) Decorar con Aceituna."
Mary Pickford,"citrico, clasico","1) Agregar Ron claro, Jugo de piña, Licor de maraschino y Granadina a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.
4) Decorar con Cereza marrasquino."
